,competitor_count_visit,first_competitor,second_competitor,count_of_competitor
62881,60,5,55,2
62882,53,5,48,2
62883,64,10,54,2
62884,40,3,37,2
62885,67,8,59,2
62886,57,4,53,2
62887,53,9,44,2
62888,57,3,54,2
62889,39,5,34,2
62890,50,4,46,2
62891,44,6,38,2
62892,54,9,45,2
62893,66,4,62,2
62894,79,7,72,2
62895,51,7,44,2
62896,46,8,38,2
62897,58,8,50,2
62898,58,4,54,2
62899,59,7,52,2
62900,48,6,42,2
62901,57,9,48,2
62902,51,9,42,2
62903,60,10,50,2
62904,61,11,50,2
62905,57,12,45,2
62906,60,5,55,2
62907,57,8,49,2
62908,65,4,61,2
62909,64,7,57,2
62910,55,5,50,2
62911,51,4,47,2
62912,61,10,51,2
62913,67,6,61,2
62914,46,4,42,2
62915,59,7,52,2
62916,56,6,50,2
62917,54,5,49,2
62918,55,6,49,2
62919,46,6,40,2
62920,53,6,47,2
62921,57,2,55,2
62922,59,9,50,2
62923,52,6,46,2
62924,45,4,41,2
62925,42,5,37,2
62926,66,13,53,2
62927,38,4,34,2
62928,65,9,56,2
62929,60,11,49,2
62930,56,5,51,2
62931,53,7,46,2
62932,62,5,57,2
62933,43,5,38,2
62934,58,5,53,2
62935,54,6,48,2
62936,67,8,59,2
62937,60,7,53,2
62938,51,8,43,2
62939,51,6,45,2
62940,57,7,50,2
62941,51,4,47,2
62942,54,10,44,2
62943,57,3,54,2
62944,51,8,43,2
62945,60,7,53,2
62946,56,7,49,2
62947,50,11,39,2
62948,59,10,49,2
62949,59,8,51,2
62950,49,6,43,2
62951,69,13,56,2
62952,52,6,46,2
62953,48,4,44,2
62954,47,3,44,2
62955,49,11,38,2
62956,67,11,56,2
62957,48,4,44,2
62958,53,9,44,2
62959,49,8,41,2
62960,53,2,51,2
62961,66,12,54,2
62962,63,5,58,2
62963,49,2,47,2
62964,52,11,41,2
62965,54,4,50,2
62966,58,11,47,2
62967,57,7,50,2
62968,55,7,48,2
62969,45,8,37,2
62970,52,3,49,2
62971,49,10,39,2
62972,62,6,56,2
62973,59,5,54,2
62974,59,9,50,2
62975,65,9,56,2
62976,44,3,41,2
62977,49,5,44,2
62978,56,8,48,2
62979,55,9,46,2
62980,50,10,40,2
62981,61,7,54,2
62982,70,12,58,2
62983,44,9,35,2
62984,61,8,53,2
62985,66,9,57,2
62986,45,7,38,2
62987,55,8,47,2
62988,49,11,38,2
62989,58,9,49,2
62990,49,3,46,2
62991,56,5,51,2
62992,53,8,45,2
62993,58,7,51,2
62994,63,10,53,2
62995,50,3,47,2
62996,59,5,54,2
62997,50,7,43,2
62998,52,4,48,2
62999,47,11,36,2
63000,55,11,44,2
63001,55,10,45,2
63002,66,4,62,2
63003,60,7,53,2
63004,54,2,52,2
63005,60,8,52,2
63006,62,8,54,2
63007,73,4,69,2
63008,57,7,50,2
63009,56,5,51,2
63010,63,10,53,2
63011,43,5,38,2
63012,50,5,45,2
63013,63,11,52,2
63014,61,11,50,2
63015,65,6,59,2
63016,48,8,40,2
63017,53,7,46,2
63018,50,6,44,2
63019,52,8,44,2
63020,45,4,41,2
63021,53,8,45,2
63022,55,6,49,2
63023,58,6,52,2
63024,62,2,60,2
63025,50,6,44,2
63026,54,5,49,2
63027,65,11,54,2
63028,44,7,37,2
63029,47,7,40,2
63030,57,7,50,2
63031,60,6,54,2
63032,64,3,61,2
63033,56,5,51,2
63035,63,3,60,2
63036,56,6,50,2
63037,58,8,50,2
63038,49,8,41,2
63039,57,10,47,2
63040,70,9,61,2
63041,51,6,45,2
63042,52,4,48,2
63043,64,6,58,2
63044,70,11,59,2
63045,56,8,48,2
63046,43,6,37,2
63047,53,5,48,2
63048,69,11,58,2
63049,64,6,58,2
63050,50,8,42,2
63051,47,5,42,2
63052,49,6,43,2
63053,53,5,48,2
63054,48,4,44,2
63055,48,8,40,2
63056,54,8,46,2
63057,53,5,48,2
63058,36,4,32,2
63059,64,8,56,2
63060,65,6,59,2
63061,69,8,61,2
63062,56,9,47,2
63063,50,3,47,2
63064,58,9,49,2
63065,53,5,48,2
63066,46,5,41,2
63067,58,7,51,2
63068,56,6,50,2
63069,31,2,29,2
63070,55,4,51,2
63071,66,6,60,2
63072,58,5,53,2
63073,60,6,54,2
63074,56,4,52,2
63075,60,8,52,2
63076,49,6,43,2
63077,62,6,56,2
63078,47,5,42,2
63079,42,3,39,2
63080,54,7,47,2
63081,49,6,43,2
63082,60,2,58,2
63083,51,6,45,2
63084,52,6,46,2
63085,57,6,51,2
63086,58,7,51,2
63087,48,6,42,2
63088,44,10,34,2
63089,52,7,45,2
63090,45,4,41,2
63091,45,2,43,2
63093,50,10,40,2
63094,60,6,54,2
63095,64,6,58,2
63096,41,4,37,2
63097,64,9,55,2
63098,45,6,39,2
63099,66,7,59,2
63100,60,4,56,2
63101,53,6,47,2
63102,52,4,48,2
63103,66,8,58,2
63104,63,8,55,2
63105,63,13,50,2
63106,52,3,49,2
63107,49,5,44,2
63108,62,8,54,2
63109,54,7,47,2
63110,53,10,43,2
63111,42,6,36,2
63112,74,17,57,2
63113,62,6,56,2
63114,45,5,40,2
63115,70,10,60,2
63116,48,4,44,2
63117,61,14,47,2
63118,55,5,50,2
63119,53,6,47,2
63120,42,6,36,2
63121,41,7,34,2
63122,55,7,48,2
63123,56,10,46,2
63124,59,8,51,2
63125,51,5,46,2
63126,64,6,58,2
63127,50,8,42,2
63128,69,6,63,2
63129,56,8,48,2
63130,50,3,47,2
63131,44,11,33,2
63132,77,6,71,2
63133,56,4,52,2
63134,50,8,42,2
63135,61,11,50,2
63136,48,6,42,2
63137,34,2,32,2
63138,45,3,42,2
63139,41,8,33,2
63140,61,7,54,2
63141,54,7,47,2
63142,60,7,53,2
63143,60,9,51,2
63144,50,5,45,2
63145,48,8,40,2
63146,56,10,46,2
63147,47,5,42,2
63148,48,8,40,2
63149,51,9,42,2
63150,60,8,52,2
63151,49,6,43,2
63152,49,3,46,2
63153,56,10,46,2
63154,52,6,46,2
63155,62,7,55,2
63156,64,4,60,2
63157,68,12,56,2
63158,51,7,44,2
63159,52,2,50,2
63160,60,5,55,2
63161,54,5,49,2
63162,71,8,63,2
63163,61,5,56,2
63164,55,5,50,2
63165,56,8,48,2
63166,49,10,39,2
63167,51,9,42,2
63168,55,8,47,2
63169,51,2,49,2
63170,52,12,40,2
63171,54,5,49,2
63172,61,7,54,2
63173,61,9,52,2
63174,45,8,37,2
63175,40,4,36,2
63176,75,13,62,2
63177,54,6,48,2
63178,64,7,57,2
63179,45,5,40,2
63180,51,8,43,2
63181,56,6,50,2
63182,58,6,52,2
63183,55,5,50,2
63184,57,4,53,2
63185,63,5,58,2
63186,57,12,45,2
63187,58,11,47,2
63188,60,9,51,2
63189,50,8,42,2
63190,36,3,33,2
63191,61,10,51,2
63192,54,8,46,2
63193,55,4,51,2
63194,58,11,47,2
63195,50,6,44,2
63196,63,15,48,2
63197,41,3,38,2
63198,71,10,61,2
63199,49,4,45,2
63200,55,6,49,2
63201,59,5,54,2
63202,62,8,54,2
63203,61,9,52,2
63204,68,4,64,2
63205,44,4,40,2
63206,59,9,50,2
63207,58,9,49,2
63208,49,7,42,2
63209,57,7,50,2
63210,41,5,36,2
63211,53,5,48,2
63212,54,7,47,2
63213,46,5,41,2
63214,55,5,50,2
63215,51,3,48,2
63216,61,7,54,2
63217,58,8,50,2
63218,51,11,40,2
63219,51,4,47,2
63220,46,4,42,2
63221,68,5,63,2
63222,59,5,54,2
63223,45,3,42,2
63224,61,8,53,2
63225,69,12,57,2
63226,45,3,42,2
63227,49,8,41,2
63228,55,3,52,2
63229,62,7,55,2
63230,62,9,53,2
63231,51,6,45,2
63232,45,4,41,2
63233,58,7,51,2
63234,63,4,59,2
63235,55,9,46,2
63236,45,5,40,2
63237,44,3,41,2
63238,48,5,43,2
63239,52,11,41,2
63240,52,5,47,2
63241,47,6,41,2
63242,60,12,48,2
63243,52,8,44,2
63244,36,3,33,2
63245,66,6,60,2
63246,60,7,53,2
63247,55,6,49,2
63248,43,7,36,2
63249,61,7,54,2
63250,58,5,53,2
63251,63,11,52,2
63252,50,6,44,2
63253,54,9,45,2
63254,69,11,58,2
63255,43,1,42,2
63256,60,8,52,2
63257,53,8,45,2
63258,60,6,54,2
63259,55,6,49,2
63260,61,6,55,2
63261,58,7,51,2
63262,61,11,50,2
63263,56,7,49,2
63264,69,8,61,2
63265,52,6,46,2
63266,53,3,50,2
63267,56,6,50,2
63268,53,6,47,2
63269,41,5,36,2
63270,60,3,57,2
63271,50,5,45,2
63272,64,6,58,2
63273,58,11,47,2
63274,49,5,44,2
63275,56,6,50,2
63276,51,5,46,2
63277,64,6,58,2
63278,52,11,41,2
63279,48,6,42,2
63280,55,3,52,2
63281,52,8,44,2
63282,54,5,49,2
63283,50,7,43,2
63284,47,6,41,2
63285,63,4,59,2
63286,49,5,44,2
63287,56,8,48,2
63288,54,5,49,2
63289,54,9,45,2
63290,55,6,49,2
63291,48,6,42,2
63292,49,5,44,2
63293,58,8,50,2
63294,54,3,51,2
63295,58,8,50,2
63296,42,2,40,2
63297,60,6,54,2
63298,58,10,48,2
63299,54,3,51,2
63300,52,9,43,2
63301,58,4,54,2
63302,61,11,50,2
63303,44,4,40,2
63304,65,9,56,2
63305,63,10,53,2
63306,58,4,54,2
63307,62,8,54,2
63308,44,8,36,2
63309,48,2,46,2
63310,64,4,60,2
63311,60,6,54,2
63312,63,9,54,2
63313,68,11,57,2
63314,54,3,51,2
63315,53,7,46,2
63316,52,9,43,2
63317,49,0,49,1
63318,47,7,40,2
63319,55,6,49,2
63320,66,7,59,2
63321,54,10,44,2
63322,60,6,54,2
63323,54,10,44,2
63324,54,9,45,2
63325,62,6,56,2
63326,51,9,42,2
63327,58,4,54,2
63328,49,6,43,2
63329,59,6,53,2
63330,58,9,49,2
63331,55,11,44,2
63332,47,7,40,2
63333,57,6,51,2
63334,63,5,58,2
63335,60,11,49,2
63336,49,6,43,2
63337,60,7,53,2
63338,46,3,43,2
63339,48,7,41,2
63340,57,6,51,2
63341,48,7,41,2
63342,60,12,48,2
63343,58,6,52,2
63344,58,8,50,2
63345,49,5,44,2
63346,51,6,45,2
63347,64,14,50,2
63348,46,3,43,2
63349,66,9,57,2
63350,60,10,50,2
63351,55,7,48,2
63352,50,5,45,2
63353,58,12,46,2
63354,60,9,51,2
63355,47,6,41,2
63356,60,9,51,2
63357,52,5,47,2
63358,50,6,44,2
63359,51,6,45,2
63360,47,10,37,2
63361,54,4,50,2
63362,45,4,41,2
63363,56,7,49,2
63364,42,3,39,2
63365,52,7,45,2
63366,58,7,51,2
63367,59,7,52,2
63368,57,15,42,2
63369,61,8,53,2
63370,45,2,43,2
63371,72,8,64,2
63372,71,6,65,2
63373,49,6,43,2
63374,40,4,36,2
63375,51,6,45,2
63376,52,8,44,2
63377,69,9,60,2
63378,68,6,62,2
63379,61,7,54,2
63380,53,7,46,2
63381,57,9,48,2
63382,43,6,37,2
63383,59,7,52,2
63384,60,8,52,2
63385,59,6,53,2
63386,55,7,48,2
63387,60,5,55,2
63388,48,10,38,2
63389,60,4,56,2
63390,66,6,60,2
63391,49,11,38,2
63392,60,6,54,2
63393,50,10,40,2
63394,53,6,47,2
63395,54,6,48,2
63396,50,5,45,2
63397,52,7,45,2
63398,54,8,46,2
63399,59,8,51,2
63400,53,5,48,2
63401,53,9,44,2
63402,51,3,48,2
63403,53,10,43,2
63404,59,4,55,2
63405,53,6,47,2
63406,64,3,61,2
63407,46,8,38,2
63408,58,5,53,2
63409,46,4,42,2
63410,45,7,38,2
63411,57,6,51,2
63412,52,8,44,2
63413,52,9,43,2
63414,48,2,46,2
63415,48,6,42,2
63416,53,6,47,2
63417,45,6,39,2
63418,52,7,45,2
63419,60,12,48,2
63420,45,6,39,2
63421,62,12,50,2
63422,54,4,50,2
63423,55,11,44,2
63424,50,7,43,2
63425,63,9,54,2
63426,49,5,44,2
63427,42,8,34,2
63428,62,9,53,2
63429,47,6,41,2
63430,53,4,49,2
63431,52,1,51,2
63432,65,8,57,2
63433,59,2,57,2
63434,57,8,49,2
63435,49,8,41,2
63436,53,10,43,2
63437,57,7,50,2
63438,64,10,54,2
63439,59,5,54,2
63440,50,8,42,2
63441,70,10,60,2
63442,58,13,45,2
63443,48,6,42,2
63444,58,8,50,2
63445,47,4,43,2
63446,46,5,41,2
63447,53,7,46,2
63448,60,6,54,2
63449,48,6,42,2
63450,57,8,49,2
63451,59,11,48,2
63452,57,3,54,2
63453,53,7,46,2
63454,46,6,40,2
63455,50,8,42,2
63456,53,4,49,2
63457,69,12,57,2
63458,42,4,38,2
63459,58,9,49,2
63460,49,10,39,2
63461,45,3,42,2
63462,47,5,42,2
63463,55,3,52,2
63464,44,1,43,2
63465,46,6,40,2
63466,48,9,39,2
63467,56,8,48,2
63468,54,7,47,2
63469,50,4,46,2
63470,55,6,49,2
63471,44,4,40,2
63472,46,6,40,2
63473,56,5,51,2
63474,61,5,56,2
63475,71,5,66,2
63476,52,6,46,2
63477,49,5,44,2
63478,61,5,56,2
63479,54,8,46,2
63480,46,6,40,2
63481,59,5,54,2
63482,53,2,51,2
63483,49,4,45,2
63484,47,5,42,2
63485,47,7,40,2
63486,48,6,42,2
63487,38,0,38,1
63488,57,11,46,2
63489,58,3,55,2
63490,60,5,55,2
63491,42,6,36,2
63492,63,9,54,2
63493,48,3,45,2
63494,66,8,58,2
63495,62,7,55,2
63496,68,10,58,2
63497,50,4,46,2
63498,51,3,48,2
63499,53,6,47,2
63500,72,5,67,2
63501,55,9,46,2
63502,54,9,45,2
63503,66,7,59,2
63504,45,7,38,2
63505,56,7,49,2
63506,50,4,46,2
63507,54,8,46,2
63508,48,3,45,2
63509,62,4,58,2
63510,50,6,44,2
63511,56,5,51,2
63512,56,10,46,2
63513,53,7,46,2
63514,53,7,46,2
63515,51,9,42,2
63516,63,9,54,2
63517,54,7,47,2
63518,40,2,38,2
63519,48,4,44,2
63520,52,6,46,2
63521,46,6,40,2
63522,58,7,51,2
63523,56,8,48,2
63524,45,8,37,2
63525,54,9,45,2
63526,74,7,67,2
63527,58,5,53,2
63528,63,11,52,2
63529,57,7,50,2
63530,56,9,47,2
63531,61,8,53,2
63532,50,6,44,2
63533,58,2,56,2
63534,73,11,62,2
63535,53,8,45,2
63536,56,9,47,2
63537,56,8,48,2
63538,54,11,43,2
63539,62,11,51,2
63540,44,4,40,2
63541,58,7,51,2
63542,44,5,39,2
63543,48,1,47,2
63544,39,7,32,2
63545,53,5,48,2
63546,45,9,36,2
63547,48,4,44,2
63548,43,7,36,2
63549,61,4,57,2
63550,51,9,42,2
63551,47,6,41,2
63552,66,10,56,2
63553,60,2,58,2
63554,50,6,44,2
63555,81,12,69,2
63556,57,8,49,2
63557,56,8,48,2
63558,57,10,47,2
63559,58,9,49,2
63560,61,7,54,2
63561,55,5,50,2
63562,55,7,48,2
63563,56,6,50,2
63564,50,6,44,2
63565,49,6,43,2
63566,54,5,49,2
63567,57,5,52,2
63568,44,7,37,2
63569,47,2,45,2
63570,63,6,57,2
63571,44,5,39,2
63572,51,4,47,2
63573,51,4,47,2
63574,54,6,48,2
63575,60,10,50,2
63576,55,7,48,2
63577,51,6,45,2
63578,54,3,51,2
63579,60,12,48,2
63580,48,5,43,2
63581,57,6,51,2
63582,53,7,46,2
63583,58,7,51,2
63584,64,8,56,2
63585,60,8,52,2
63586,61,5,56,2
63587,41,7,34,2
63588,49,4,45,2
63589,43,5,38,2
63590,53,5,48,2
63591,54,7,47,2
63592,50,5,45,2
63593,67,15,52,2
63594,50,5,45,2
63595,65,7,58,2
63596,49,5,44,2
63597,52,4,48,2
63598,52,2,50,2
63599,48,5,43,2
63600,52,2,50,2
63601,61,6,55,2
63602,46,1,45,2
63603,54,9,45,2
63604,57,3,54,2
63605,60,10,50,2
63606,42,9,33,2
63607,56,6,50,2
63608,48,4,44,2
63609,39,4,35,2
63610,55,6,49,2
63611,49,7,42,2
63612,53,5,48,2
63613,56,3,53,2
63614,59,4,55,2
63615,62,6,56,2
63616,58,6,52,2
63617,63,13,50,2
63618,55,8,47,2
63619,46,4,42,2
63620,58,10,48,2
63621,60,10,50,2
63622,47,6,41,2
63623,67,10,57,2
63624,47,6,41,2
63625,47,9,38,2
63626,51,7,44,2
63627,57,3,54,2
63628,59,10,49,2
63629,42,4,38,2
63630,40,4,36,2
63631,60,6,54,2
63632,47,3,44,2
63633,69,9,60,2
63634,58,4,54,2
63635,58,5,53,2
63636,46,9,37,2
63637,53,6,47,2
63638,41,4,37,2
63639,60,8,52,2
63640,80,13,67,2
63641,54,11,43,2
63642,48,7,41,2
63643,67,6,61,2
63644,53,4,49,2
63645,58,5,53,2
63646,56,5,51,2
63647,60,7,53,2
63648,55,7,48,2
63649,54,6,48,2
63650,64,13,51,2
63651,61,2,59,2
63652,51,4,47,2
63653,68,9,59,2
63654,42,5,37,2
63655,41,10,31,2
63656,54,4,50,2
63657,38,3,35,2
63658,63,8,55,2
63659,50,8,42,2
63660,59,4,55,2
63661,60,6,54,2
63662,46,4,42,2
63663,51,6,45,2
63664,64,8,56,2
63665,61,9,52,2
63666,53,6,47,2
63667,45,5,40,2
63668,55,6,49,2
63669,58,5,53,2
63670,52,6,46,2
63671,50,6,44,2
63672,46,5,41,2
63673,57,7,50,2
63674,64,7,57,2
63675,53,9,44,2
63676,41,3,38,2
63677,59,8,51,2
63678,56,9,47,2
63679,60,9,51,2
63680,58,5,53,2
63681,57,11,46,2
63682,53,7,46,2
63683,52,8,44,2
63684,57,6,51,2
63685,51,7,44,2
63686,58,6,52,2
63687,69,6,63,2
63688,37,7,30,2
63689,54,5,49,2
63690,54,8,46,2
63691,55,10,45,2
63692,57,2,55,2
63693,53,5,48,2
63694,54,6,48,2
63695,50,5,45,2
63696,55,8,47,2
63697,59,0,59,1
63698,50,6,44,2
63699,45,6,39,2
63700,59,9,50,2
63701,60,5,55,2
63702,52,7,45,2
63703,65,11,54,2
63704,46,7,39,2
63705,69,8,61,2
63706,50,9,41,2
63707,47,2,45,2
63708,51,5,46,2
63709,56,6,50,2
63710,53,10,43,2
63711,55,4,51,2
63712,67,4,63,2
63713,52,7,45,2
63714,55,2,53,2
63715,47,7,40,2
63716,59,7,52,2
63717,49,5,44,2
63718,55,7,48,2
63719,45,6,39,2
63720,59,7,52,2
63721,54,8,46,2
63722,41,5,36,2
63723,60,5,55,2
63724,46,2,44,2
63725,49,11,38,2
63726,49,8,41,2
63727,57,10,47,2
63728,62,5,57,2
63729,58,7,51,2
63730,60,12,48,2
63731,61,7,54,2
63732,41,7,34,2
63733,43,3,40,2
63734,48,5,43,2
63735,54,8,46,2
63736,57,6,51,2
63737,55,6,49,2
63738,54,9,45,2
63739,69,10,59,2
63740,48,4,44,2
63741,59,11,48,2
63742,58,3,55,2
63743,55,6,49,2
63744,66,5,61,2
63745,62,10,52,2
63746,50,5,45,2
63747,53,6,47,2
63748,36,3,33,2
63749,68,9,59,2
63750,49,8,41,2
63751,60,5,55,2
63752,51,7,44,2
63753,60,7,53,2
63754,60,9,51,2
63755,54,7,47,2
63756,55,6,49,2
63757,43,6,37,2
63758,58,11,47,2
63759,39,6,33,2
63760,56,2,54,2
63761,54,8,46,2
63762,66,6,60,2
63763,48,5,43,2
63764,53,8,45,2
63765,48,6,42,2
63766,51,3,48,2
63767,52,4,48,2
63768,40,3,37,2
63769,55,7,48,2
63770,53,9,44,2
63771,56,5,51,2
63772,68,9,59,2
63773,50,4,46,2
63774,62,4,58,2
63775,57,8,49,2
63776,60,10,50,2
63777,49,7,42,2
63778,63,10,53,2
63779,65,12,53,2
63780,40,5,35,2
63781,58,13,45,2
63782,55,7,48,2
63783,55,8,47,2
63784,42,4,38,2
63785,59,5,54,2
63786,53,10,43,2
63787,69,11,58,2
63788,55,14,41,2
63789,47,9,38,2
63790,53,5,48,2
63791,57,2,55,2
63792,53,6,47,2
63793,43,9,34,2
63794,49,5,44,2
63795,38,2,36,2
63796,52,5,47,2
63797,51,5,46,2
63798,62,8,54,2
63799,46,5,41,2
63800,51,4,47,2
63801,51,15,36,2
63802,55,7,48,2
63803,45,4,41,2
63804,53,5,48,2
63805,67,6,61,2
63806,62,5,57,2
63807,59,7,52,2
63808,55,8,47,2
63809,57,6,51,2
63810,49,5,44,2
63811,63,5,58,2
63812,51,4,47,2
63813,48,6,42,2
63814,61,3,58,2
63815,52,8,44,2
63816,67,5,62,2
63817,48,8,40,2
63818,56,7,49,2
63819,50,2,48,2
63820,57,5,52,2
63821,47,4,43,2
63822,51,4,47,2
63823,46,4,42,2
63824,69,4,65,2
63825,54,4,50,2
63826,61,7,54,2
63827,61,12,49,2
63828,56,9,47,2
63829,60,9,51,2
63830,46,3,43,2
63831,53,8,45,2
63832,51,4,47,2
63833,56,7,49,2
63834,47,4,43,2
63835,67,5,62,2
63836,48,6,42,2
63837,48,3,45,2
63838,52,4,48,2
63839,69,5,64,2
63840,52,5,47,2
63841,49,9,40,2
63842,49,6,43,2
63843,58,8,50,2
63844,48,6,42,2
63845,55,5,50,2
63846,62,7,55,2
63847,45,5,40,2
63848,56,8,48,2
63849,56,8,48,2
63850,52,3,49,2
63851,50,7,43,2
63852,65,8,57,2
63853,47,2,45,2
63854,52,5,47,2
63855,45,6,39,2
63856,56,4,52,2
63857,40,5,35,2
63858,47,5,42,2
63859,52,3,49,2
63860,66,12,54,2
63861,47,10,37,2
63862,60,6,54,2
63863,60,5,55,2
63864,50,7,43,2
63865,50,4,46,2
63866,67,4,63,2
63867,70,9,61,2
63868,61,11,50,2
63869,64,6,58,2
63870,61,9,52,2
63871,57,10,47,2
63872,53,6,47,2
63873,53,4,49,2
63874,61,9,52,2
63875,67,13,54,2
63876,49,3,46,2
63877,57,5,52,2
63878,62,12,50,2
63879,58,3,55,2
63880,48,11,37,2
63881,56,4,52,2
63882,43,4,39,2
63883,57,10,47,2
63884,52,6,46,2
63885,63,7,56,2
63886,51,6,45,2
63887,50,8,42,2
63888,48,4,44,2
63889,61,13,48,2
63890,49,10,39,2
63891,60,6,54,2
63892,56,11,45,2
63893,51,6,45,2
63894,51,2,49,2
63895,47,4,43,2
63896,63,5,58,2
63897,53,4,49,2
63898,57,3,54,2
63899,41,2,39,2
63900,72,4,68,2
63901,56,10,46,2
63902,47,4,43,2
63903,51,5,46,2
63904,57,9,48,2
63905,65,9,56,2
63906,57,8,49,2
63907,51,6,45,2
63908,39,4,35,2
63909,52,5,47,2
63910,50,8,42,2
63911,51,9,42,2
63912,53,11,42,2
63913,43,4,39,2
63914,65,7,58,2
63915,51,8,43,2
63916,49,5,44,2
63917,57,8,49,2
63918,48,9,39,2
63919,54,7,47,2
63920,48,4,44,2
63921,57,4,53,2
63922,57,4,53,2
63923,43,2,41,2
63924,47,7,40,2
63925,66,8,58,2
63926,49,5,44,2
63927,63,6,57,2
63928,52,5,47,2
63929,61,6,55,2
63930,50,5,45,2
63931,51,4,47,2
63932,48,5,43,2
63933,59,7,52,2
63934,68,5,63,2
63935,59,8,51,2
63936,63,10,53,2
63937,54,9,45,2
63938,46,7,39,2
63939,66,6,60,2
63940,48,4,44,2
63941,56,8,48,2
63942,51,4,47,2
63943,48,3,45,2
63944,59,10,49,2
63945,64,15,49,2
63946,48,3,45,2
63947,56,4,52,2
63948,36,5,31,2
63949,48,3,45,2
63950,53,4,49,2
63951,67,6,61,2
63952,51,3,48,2
63953,63,7,56,2
63954,57,6,51,2
63955,57,5,52,2
63956,60,9,51,2
63957,57,5,52,2
63958,56,7,49,2
63959,61,9,52,2
63960,64,10,54,2
63961,46,8,38,2
63962,60,6,54,2
63964,58,4,54,2
63965,46,3,43,2
63966,56,10,46,2
63967,45,4,41,2
63968,52,6,46,2
63969,55,5,50,2
63970,53,9,44,2
63971,63,10,53,2
63972,48,7,41,2
63973,54,10,44,2
63974,54,5,49,2
63975,59,3,56,2
63976,48,4,44,2
63977,62,6,56,2
63978,64,10,54,2
63979,57,10,47,2
63980,57,6,51,2
63981,64,10,54,2
63982,50,6,44,2
63983,59,9,50,2
63984,54,11,43,2
63985,48,7,41,2
63986,55,5,50,2
63987,49,8,41,2
63988,46,5,41,2
63989,45,8,37,2
63990,54,7,47,2
63991,50,9,41,2
63992,47,6,41,2
63993,59,5,54,2
63994,61,6,55,2
63995,52,3,49,2
63996,64,4,60,2
63997,54,11,43,2
63998,43,3,40,2
63999,51,8,43,2
64000,49,4,45,2
64001,54,9,45,2
64002,49,5,44,2
64003,57,5,52,2
64004,48,7,41,2
64005,54,8,46,2
64006,58,10,48,2
64007,55,6,49,2
64008,67,7,60,2
64009,58,7,51,2
64010,62,9,53,2
64011,73,9,64,2
64012,72,5,67,2
64013,65,2,63,2
64014,48,8,40,2
64015,57,6,51,2
64016,54,4,50,2
64017,55,4,51,2
64018,56,14,42,2
64019,48,5,43,2
64020,60,6,54,2
64021,63,8,55,2
64022,58,9,49,2
64023,53,4,49,2
64024,43,2,41,2
64025,54,7,47,2
64026,52,9,43,2
64027,70,13,57,2
64028,47,3,44,2
64029,68,8,60,2
64030,53,4,49,2
64031,56,5,51,2
64032,55,7,48,2
64033,55,10,45,2
64034,55,5,50,2
64035,69,6,63,2
64036,60,7,53,2
64037,53,10,43,2
64038,52,5,47,2
64039,37,7,30,2
64040,57,4,53,2
64041,60,5,55,2
64042,64,6,58,2
64043,53,6,47,2
64044,46,6,40,2
64045,45,6,39,2
64046,43,3,40,2
64047,63,7,56,2
64048,57,9,48,2
64049,47,6,41,2
64050,62,8,54,2
64051,65,7,58,2
64052,64,10,54,2
64053,50,5,45,2
64054,57,3,54,2
64055,57,4,53,2
64056,45,8,37,2
64057,62,9,53,2
64058,55,5,50,2
64059,58,11,47,2
64060,49,9,40,2
64061,46,3,43,2
64062,67,7,60,2
64063,60,6,54,2
64064,57,6,51,2
64065,53,9,44,2
64066,47,6,41,2
64067,56,5,51,2
64068,55,7,48,2
64069,47,2,45,2
64070,61,12,49,2
64071,65,2,63,2
64072,58,8,50,2
64073,57,7,50,2
64074,52,4,48,2
64075,49,7,42,2
64076,55,5,50,2
64077,46,7,39,2
64078,56,4,52,2
64079,44,6,38,2
64080,47,6,41,2
64081,55,8,47,2
64082,54,6,48,2
64083,57,2,55,2
64084,53,3,50,2
64085,53,6,47,2
64086,56,5,51,2
64087,46,4,42,2
64088,57,9,48,2
64089,60,6,54,2
64090,59,8,51,2
64091,64,6,58,2
64092,53,12,41,2
64093,41,4,37,2
64094,45,6,39,2
64095,58,6,52,2
64096,46,5,41,2
64097,57,6,51,2
64098,56,8,48,2
64099,48,4,44,2
64100,66,6,60,2
64101,58,6,52,2
64102,47,5,42,2
64103,55,7,48,2
64104,48,5,43,2
64105,52,8,44,2
64106,34,4,30,2
64107,56,5,51,2
64108,57,3,54,2
64109,52,5,47,2
64110,61,7,54,2
64111,51,6,45,2
64112,66,12,54,2
64113,52,11,41,2
64114,47,5,42,2
64115,48,8,40,2
64116,55,5,50,2
64117,59,4,55,2
64118,52,5,47,2
64119,49,8,41,2
64120,46,1,45,2
64121,40,6,34,2
64122,57,7,50,2
64123,48,5,43,2
64124,56,9,47,2
64125,58,8,50,2
64126,53,3,50,2
64127,60,10,50,2
64128,59,7,52,2
64129,58,12,46,2
64130,60,7,53,2
64131,56,6,50,2
64132,68,4,64,2
64133,62,5,57,2
64134,50,4,46,2
64135,65,7,58,2
64136,55,5,50,2
64137,55,8,47,2
64138,51,8,43,2
64139,46,4,42,2
64140,58,8,50,2
64141,59,4,55,2
64142,48,7,41,2
64143,43,2,41,2
64144,54,7,47,2
64145,50,4,46,2
64146,59,9,50,2
64147,53,6,47,2
64148,61,5,56,2
64149,48,6,42,2
64150,67,6,61,2
64151,59,5,54,2
64152,65,8,57,2
64153,47,7,40,2
